series,episode,baker,result,technical,last_name,baker_age,baker_occupation,hometown,signature_bake,show_stopper
1,1,Annetha,IN,2,Mills,30,Midwife,Essex,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream"
1,1,David,IN,3,Chambers,31,Entrepreneur,Milton Keynes,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs"
1,1,Edd,IN,1,Kimber,24,Debt collector for Yorkshire Bank,Bradford,Caramel Cinnamon and Banana Cake,N/A
1,1,Jasminder,IN,NA,Randhawa,45,Assistant Credit Control Manager,Birmingham,Fresh Mango and Passion Fruit Hummingbird Cake,N/A
1,1,Jonathan,IN,9,Shepherd,25,Research Analyst,St Albans,Carrot Cake with Lime and Cream Cheese Icing,Three Tiered White and Dark Chocolate with Almond and Cherry
1,1,Lea,OUT,10,Harris,51,Retired,"Midlothian, Scotland",Cranberry and Pistachio Cakewith Orange Flower Water Icing,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit
1,1,Louise,IN,NA,Brimelow,44,Police Officer,Manchester,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border"
1,1,Mark,OUT,NA,Whithers,48,Bus Driver,South Wales,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.
1,1,Miranda,IN,8,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex","Triple Layered Brownie Meringue Cake
with Raspberry Cream",Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations
1,1,Ruth,IN,NA,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles
1,2,Annetha,OUT,7,Mills,30,Midwife,Essex,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs
1,2,David,IN,8,Chambers,31,Entrepreneur,Milton Keynes,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles
1,2,Edd,IN,6,Kimber,24,Debt collector for Yorkshire Bank,Bradford,Oatmeal Raisin Cookie,Pink Macarons
1,2,Jasminder,IN,2,Randhawa,45,Assistant Credit Control Manager,Birmingham,Millionaires' Shortbread,Meringues with Chocolate and Space DustCoffee flavoured Eclairs
1,2,Jonathan,IN,1,Shepherd,25,Research Analyst,St Albans,Honey and Candied Ginger Cookies,Meringues with Whiskey Cream
1,2,Louise,OUT,4,Brimelow,44,Police Officer,Manchester,Stained Glass Window Shortbread,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons"
1,2,Miranda,IN,3,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Fresh Vanilla Biscuits with Royal Icing,Pistachio Macarons
1,2,Ruth,IN,5,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",Peanut Shortbread withSalted Peanut Caramel,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs
1,3,David,IN,4,Chambers,31,Entrepreneur,Milton Keynes,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun"
1,3,Edd,IN,1,Kimber,24,Debt collector for Yorkshire Bank,Bradford,Olive Bread,Tomato and Mozzarella
1,3,Jasminder,IN,5,Randhawa,45,Assistant Credit Control Manager,Birmingham,Focaccia,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots"
1,3,Jonathan,OUT,6,Shepherd,25,Research Analyst,St Albans,"Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun"
1,3,Miranda,IN,3,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Walnut and Apricot Bread,"Lemon Iced Buns
Chocolate and Orange Buns"
1,3,Ruth,IN,2,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",Maple and Pecan Bread,"Chocolate and Orange Panettone
Cranberry Bagels"
